id,date_ms,sym,side,size,akk
152,1787616411104,ADBEUSDT,Buy,38.6554,0
153,1787616411291,ADBEUSDT,Sell,38.6554,1
154,1787616411476,ADBEUSDT,Buy,38.6554,2
155,1787616411662,ADBEUSDT,Sell,38.6554,3
156,1787616412019,ADBEUSDT,Sell,77.3108,4
157,1787616412863,AGIUSDT,Sell,39.97566,0
158,1787616413063,AGIUSDT,Buy,39.97566,1
159,1787616413248,AGIUSDT,Sell,39.97566,2
160,1787616413433,AGIUSDT,Buy,39.97566,3
161,1787616413778,AGIUSDT,Buy,79.95132,4
162,1787616414933,AMATUSDT,Sell,38.5152,0
163,1787616415117,AMATUSDT,Buy,38.5152,1
164,1787616415300,AMATUSDT,Sell,38.5152,2
165,1787616415489,AMATUSDT,Buy,38.5152,3
166,1787616415837,AMATUSDT,Buy,77.0304,4
167,1787616416708,APPSTOCKUSDT,Sell,38.9636,1
168,1787616417058,APPSTOCKUSDT,Sell,77.9272,4
169,1787616417904,BNCUSDT,Buy,39.7449,1
170,1787616418253,BNCUSDT,Buy,79.7979,4
171,1787616419097,CASHCATUSDT,Buy,39.642,0
172,1787616419281,CASHCATUSDT,Sell,39.642,1
173,1787616419465,CASHCATUSDT,Buy,39.642,2
174,1787616419647,CASHCATUSDT,Sell,39.642,3
175,1787616419996,CASHCATUSDT,Sell,79.284,4
176,1787616420840,DDOGUSDT,Sell,38.5322,0
177,1787616421023,DDOGUSDT,Buy,38.5322,1
178,1787616421207,DDOGUSDT,Sell,38.5322,2
179,1787616421437,DDOGUSDT,Buy,38.5322,3
180,1787616421791,DDOGUSDT,Buy,79.331,4
181,1787616422641,HANAUSDT,Buy,39.8325,0
182,1787616422828,HANAUSDT,Sell,39.8325,1
183,1787616423014,HANAUSDT,Buy,39.8325,2
184,1787616423205,HANAUSDT,Sell,39.8325,3
185,1787616423560,HANAUSDT,Sell,79.8345,4
186,1787616424406,HYUNDAIUSDT,Sell,38.9025,0
187,1787616424590,HYUNDAIUSDT,Buy,38.9025,1
188,1787616424779,HYUNDAIUSDT,Sell,38.9025,2
189,1787616424963,HYUNDAIUSDT,Buy,38.9025,3
190,1787616425311,HYUNDAIUSDT,Buy,77.805,4
191,1787616426156,JSTUSDT,Sell,39.1677,0
192,1787616426338,JSTUSDT,Buy,39.1677,1
193,1787616426522,JSTUSDT,Sell,39.1677,2
194,1787616426705,JSTUSDT,Buy,39.1677,3
195,1787616427053,JSTUSDT,Buy,79.3397,4
196,1787616427898,MARAUSDT,Buy,39.9432,0
197,1787616428082,MARAUSDT,Sell,39.9432,1
198,1787616428266,MARAUSDT,Buy,39.9432,2
199,1787616428450,MARAUSDT,Sell,39.9432,3
200,1787616428800,MARAUSDT,Sell,79.9986,4
201,1787616429645,MOVEUSDT,Buy,39.99296,1
202,1787616429828,MOVEUSDT,Buy,39.99296,3
203,1787616430176,MOVEUSDT,Buy,79.99383,4
204,1787617009731,ACXUSDT,Buy,39.99996,1
205,1787617010081,ACXUSDT,Buy,79.99992,4
206,1787617010936,AGIUSDT,Sell,39.99041,0
207,1787617011122,AGIUSDT,Buy,39.99041,1
208,1787617011306,AGIUSDT,Sell,39.99041,2
209,1787617011490,AGIUSDT,Buy,39.99041,3
210,1787617011839,AGIUSDT,Buy,79.98082,4
211,1787617014361,CASHCATUSDT,Buy,38.4218,2
212,1787617014552,CASHCATUSDT,Sell,38.4218,3
213,1787617015569,CROSSUSDT,Sell,39.95607,0
214,1787617015755,CROSSUSDT,Buy,39.95607,1
215,1787617015941,CROSSUSDT,Sell,39.95607,2
216,1787617016129,CROSSUSDT,Buy,39.95607,3
217,1787617016480,CROSSUSDT,Buy,79.91214,4
218,1787617609101,AGIUSDT,Buy,39.98566,3
219,1787617610954,BNCUSDT,Buy,39.806,3
220,1787617611972,CASHCATUSDT,Sell,39.9437,1
221,1787617612158,CASHCATUSDT,Buy,39.9437,2
222,1787617612343,CASHCATUSDT,Sell,39.9437,3
223,1787617612692,CASHCATUSDT,Sell,79.8874,4
224,1787617614372,FWDIUSDT,Buy,39.9786,0
225,1787617614558,FWDIUSDT,Sell,39.9786,1
226,1787617614746,FWDIUSDT,Buy,39.9786,2
227,1787617614931,FWDIUSDT,Sell,39.9786,3
228,1787617615281,FWDIUSDT,Sell,79.9572,4
229,1787618209490,AGIUSDT,Sell,39.963,0
230,1787618209677,AGIUSDT,Buy,39.963,1
231,1787618209862,AGIUSDT,Sell,39.963,2
232,1787618210221,AGIUSDT,Buy,79.9779,4
233,1787618211907,B3USDT,Buy,39.964,1
234,1787618212096,B3USDT,Sell,39.964,2
235,1787618212282,B3USDT,Buy,39.964,3
236,1787618212632,B3USDT,Buy,79.9795,4
237,1787618214312,CASHCATUSDT,Buy,38.0376,2
238,1787618214496,CASHCATUSDT,Sell,38.0376,3
239,1787618216345,NESAUSDT,Buy,39.9942,0
240,1787618216528,NESAUSDT,Sell,39.9942,1
241,1787618216716,NESAUSDT,Buy,39.9942,2
242,1787618216906,NESAUSDT,Sell,39.9942,3
243,1787618217262,NESAUSDT,Sell,79.9884,4
244,1787618809198,AGIUSDT,Sell,39.9823,2
245,1787618809383,AGIUSDT,Buy,39.9823,3
246,1787618811229,B3USDT,Sell,39.99564,2
247,1787618811412,B3USDT,Buy,39.99564,3
248,1787619408041,AGIUSDT,Buy,39.9674,1
249,1787619408227,AGIUSDT,Sell,39.9674,2
250,1787619408579,AGIUSDT,Buy,79.9839,4
251,1787619410259,B3USDT,Buy,39.95927,3
252,1787620008176,AGIUSDT,Buy,39.95584,1
253,1787620008359,AGIUSDT,Sell,39.95584,2
254,1787620008544,AGIUSDT,Buy,39.95584,3
255,1787620008899,AGIUSDT,Buy,79.95936,4
256,1787620012377,NESAUSDT,Sell,39.9094,1
257,1787620012876,NESAUSDT,Buy,39.9094,2
258,1787620013060,NESAUSDT,Sell,39.9094,3
259,1787620013414,NESAUSDT,Sell,79.9459,4
260,1787620608443,AGIUSDT,Sell,39.9832,0
261,1787620608636,AGIUSDT,Buy,39.9832,3
262,1787620610527,B3USDT,Buy,39.9699,1
263,1787620610712,B3USDT,Buy,39.9699,3
