id,date_ms,sym,side,pnl,akk
153,1787626895353,HANAUSDT,Sell,-0.40185,3
154,1787627344027,AGIUSDT,Sell,-0.4374,2
155,1787627933477,AGIUSDT,Sell,-0.38736,2
156,1787628001941,AGIUSDT,Sell,-1.36416,0
157,1787628064046,ACXUSDT,Sell,-0.53536,2
158,1787628068864,ACXUSDT,Sell,-0.79846,3
159,1787628184221,CXMTUSDT,Sell,-0.3744,2
160,1787628503830,AGIUSDT,Sell,-0.53788,2
161,1787628510441,AGIUSDT,Buy,0.54579,3
162,1787628510718,GEVUSDT,Sell,-0.09702,3
163,1787628510994,CXMTUSDT,Buy,0.4032,3
164,1787628511270,GRVTUSDT,Buy,0.01755,3
165,1787628511546,FWDIUSDT,Sell,-0.2584,3
166,1787628511822,JNJUSDT,Sell,-0.0224,3
167,1787628512099,B3USDT,Buy,0.28836,3
168,1787628512376,BNCUSDT,Buy,0.923,3
169,1787628512653,CROSSUSDT,Buy,-0.04236,3
170,1787628512927,MOVEUSDT,Buy,0.647168,3
171,1787628513205,JSTUSDT,Buy,0.3978,3
172,1787628513481,DDOGUSDT,Buy,0.0408,3
173,1787628513758,AMATUSDT,Buy,0.4648,3
174,1787628514034,ADBEUSDT,Sell,-0.0084,3
175,1787628514310,MAUSDT,Buy,0.2478,3
176,1787628514586,BXUSDT,Sell,0.1215,3
177,1787628514864,APPSTOCKUSDT,Sell,0.143,3
178,1787628515140,1000BTTUSDT,Buy,0.3944,3
179,1787628515415,IONQUSDT,Sell,-0.1536,3
180,1787628903685,GRVTUSDT,Sell,-0.3744,2
181,1787628907529,1000BTTUSDT,Sell,-0.36585,2
182,1787629064405,AGIUSDT,Sell,-0.42955,2
183,1787629152002,AGIUSDT,Sell,-1.23396,0
184,1787629685172,AGIUSDT,Buy,-0.40612,3
185,1787630713814,HYUNDAIUSDT,Sell,-0.3614,2
186,1787630854651,AGIUSDT,Sell,-0.4029,2
187,1787631044037,NESAUSDT,Buy,-0.3612,2
188,1787631111681,AGIUSDT,Sell,-1.2956,0
189,1787631420454,AGIUSDT,Sell,-0.44958,2
190,1787631425246,NESAUSDT,Sell,-0.8729,3
191,1787631674100,GRVTUSDT,Sell,-0.3978,2
192,1787631742175,GRVTUSDT,Sell,-1.17414,0
193,1787632365261,AGIUSDT,Sell,-0.3825,2
194,1787632616350,AGIUSDT,Sell,-0.3825,2
195,1787633993558,AGIUSDT,Sell,-0.66294,2
196,1787634011624,AGIUSDT,Sell,-1.30302,0
197,1787634033961,CXMTUSDT,Sell,-0.6336,2
198,1787634040456,ACXUSDT,Buy,0.01922,3
199,1787634040737,MOVEUSDT,Sell,0.0,3
200,1787634041018,APPSTOCKUSDT,Sell,0.065,3
201,1787634041300,AGIUSDT,Buy,1.59885,3
202,1787634041583,GRVTUSDT,Buy,0.5031,3
203,1787634041866,ESPUSDT,Buy,0.09,3
204,1787634042145,MAUSDT,Buy,-0.003,3
205,1787634042425,GEVUSDT,Sell,-0.01596,3
206,1787634042712,FWDIUSDT,Sell,-0.0536,3
207,1787634042991,CXMTUSDT,Buy,0.6096,3
208,1787634043313,BNCUSDT,Sell,0.1143,3
209,1787634055768,ACXUSDT,Buy,0.03844,4
210,1787634056056,NESAUSDT,Sell,0.3015,4
211,1787634056341,ESPUSDT,Buy,0.18,4
212,1787634056624,B3USDT,Buy,0.68929,4
213,1787634056903,MOVEUSDT,Buy,1.405707,4
214,1787634057188,CROSSUSDT,Buy,-0.74836,4
215,1787634057476,HANAUSDT,Sell,-2.17131,4
216,1787634057762,GRVTUSDT,Buy,1.05961,4
217,1787634058043,MAUSDT,Buy,-0.0052,4
218,1787634058329,GEVUSDT,Sell,-0.34188,4
219,1787634058610,CXMTUSDT,Buy,1.843,4
220,1787634058896,BXUSDT,Sell,-0.0825,4
221,1787634059178,JNJUSDT,Sell,0.1276,4
222,1787634059460,FWDIUSDT,Sell,-1.863,4
223,1787634059744,JSTUSDT,Buy,0.8611,4
224,1787634060027,HYUNDAIUSDT,Buy,0.6188,4
