id,date_ms,sym,fund,next
163,1787600152520,BICOUSDT,-0.1996,1787616000000
164,1787600155061,BNCUSDT,0.1765,1787616000000
165,1787600166720,CXMTUSDT,-0.1306,1787616000000
166,1787600172286,EPICUSDT,-0.1427,1787601600000
167,1787600184079,HOMEUSDT,-0.2423,1787601600000
168,1787600732277,1000BTTUSDT,-0.288,1787616000000
169,1787600736293,ACEUSDT,-0.2417,1787601600000
170,1787600748826,B3USDT,-0.1322,1787601600000
171,1787600752196,BICOUSDT,-0.1965,1787616000000
172,1787600754756,BNCUSDT,0.1569,1787616000000
173,1787600766693,CXMTUSDT,-0.1366,1787616000000
174,1787600772797,EPICUSDT,-0.1408,1787601600000
175,1787600784515,HOMEUSDT,-0.2399,1787601600000
176,1787600788051,IONQUSDT,0.1007,1787616000000
177,1787601332425,1000BTTUSDT,-0.2801,1787616000000
178,1787601335467,ACEUSDT,-0.2351,1787601600000
179,1787601348835,B3USDT,-0.121,1787601600000
180,1787601352167,BICOUSDT,-0.1944,1787616000000
181,1787601354672,BNCUSDT,0.1397,1787616000000
182,1787601366759,CXMTUSDT,-0.1326,1787616000000
183,1787601372306,EPICUSDT,-0.1395,1787601600000
184,1787601384113,HOMEUSDT,-0.2429,1787601600000
185,1787601387691,IONQUSDT,0.1126,1787616000000
186,1787601398135,MAUSDT,-0.1073,1787616000000
187,1787601931687,1000000MOGUSDT,-0.1742,1787616000000
188,1787601932371,1000BTTUSDT,-0.2813,1787616000000
189,1787601935377,ACEUSDT,-0.2929,1787616000000
190,1787601949845,BANANAUSDT,-0.1299,1787616000000
191,1787601952430,BICOUSDT,-0.1965,1787616000000
192,1787601954922,BNCUSDT,0.1276,1787616000000
193,1787601966806,CXMTUSDT,-0.1184,1787616000000
194,1787601972395,EPICUSDT,-0.1289,1787616000000
195,1787601984185,HOMEUSDT,-0.2361,1787616000000
196,1787601987726,IONQUSDT,0.1064,1787616000000
197,1787601998417,MAUSDT,-0.1202,1787616000000
198,1787602002633,MOVEUSDT,-0.2398,1787616000000
199,1787602531993,1000BTTUSDT,-0.282,1787616000000
200,1787602535082,ACEUSDT,-0.3444,1787616000000
201,1787602552476,BICOUSDT,-0.1865,1787616000000
202,1787602554990,BNCUSDT,0.1241,1787616000000
203,1787602566571,CXMTUSDT,-0.1066,1787616000000
204,1787602583770,HOMEUSDT,-0.2656,1787616000000
205,1787602587326,IONQUSDT,0.1003,1787616000000
206,1787602597662,MAUSDT,-0.1312,1787616000000
207,1787602601865,MOVEUSDT,-0.221,1787616000000
208,1787603131687,1000BTTUSDT,-0.2578,1787616000000
209,1787603134806,ACEUSDT,-0.3256,1787616000000
210,1787603135492,ACXUSDT,0.4436,1787616000000
211,1787603152247,BICOUSDT,-0.18,1787616000000
212,1787603154728,BNCUSDT,0.1113,1787616000000
213,1787603157214,BTWUSDT,0.1063,1787616000000
214,1787603171644,EPICUSDT,-0.1007,1787616000000
215,1787603183224,HOMEUSDT,-0.3097,1787616000000
216,1787603194847,LSKUSDT,0.116,1787616000000
217,1787603197030,MAUSDT,-0.1427,1787616000000
218,1787603732175,1000BTTUSDT,-0.2749,1787616000000
219,1787603735320,ACEUSDT,-0.3846,1787616000000
220,1787603736000,ACXUSDT,1.2655,1787616000000
221,1787603748319,B3USDT,-0.2327,1787616000000
222,1787603751647,BICOUSDT,-0.1751,1787616000000
223,1787603782862,HOMEUSDT,-0.2674,1787616000000
224,1787603794445,LSKUSDT,0.1302,1787616000000
225,1787603796606,MAUSDT,-0.1534,1787616000000
226,1787604332071,1000BTTUSDT,-0.2705,1787616000000
227,1787604336018,ACEUSDT,-0.4121,1787616000000
228,1787604336693,ACXUSDT,0.9397,1787616000000
229,1787604348266,B3USDT,-0.35,1787616000000
230,1787604351578,BICOUSDT,-0.1736,1787616000000
231,1787604375774,FORMUSDT,0.1067,1787616000000
232,1787604382564,HOMEUSDT,-0.2314,1787616000000
233,1787604394124,LSKUSDT,0.2532,1787616000000
234,1787604396280,MAUSDT,-0.157,1787616000000
235,1787604932144,1000BTTUSDT,-0.2697,1787616000000
236,1787604935136,ACEUSDT,-0.3976,1787616000000
237,1787604935809,ACXUSDT,0.6152,1787616000000
238,1787604947377,B3USDT,-0.3548,1787616000000
239,1787604950680,BICOUSDT,-0.1707,1787616000000
240,1787604970021,EPICUSDT,-0.1076,1787616000000
241,1787604974834,FORMUSDT,0.1258,1787616000000
242,1787604978973,GRVTUSDT,-0.1027,1787616000000
243,1787604981627,HOMEUSDT,-0.2635,1787616000000
244,1787604993201,LSKUSDT,0.2551,1787616000000
245,1787604995380,MAUSDT,-0.1587,1787616000000
246,1787605532575,1000BTTUSDT,-0.2664,1787616000000
247,1787605536811,ACEUSDT,-0.382,1787616000000
248,1787605537476,ACXUSDT,0.4276,1787616000000
249,1787605549330,B3USDT,-0.3001,1787616000000
250,1787605552637,BICOUSDT,-0.1697,1787616000000
251,1787605571932,EPICUSDT,-0.1335,1787616000000
252,1787605576707,FORMUSDT,0.141,1787616000000
253,1787605583481,HOMEUSDT,-0.2843,1787616000000
254,1787605595020,LSKUSDT,0.2688,1787616000000
255,1787605597164,MAUSDT,-0.1643,1787616000000
256,1787606131780,1000BTTUSDT,-0.2589,1787616000000
257,1787606135396,ACEUSDT,-0.3688,1787616000000
258,1787606136069,ACXUSDT,0.3094,1787616000000
259,1787606148240,B3USDT,-0.2619,1787616000000
260,1787606151541,BICOUSDT,-0.1812,1787616000000
261,1787606170857,EPICUSDT,-0.1289,1787616000000
262,1787606175646,FORMUSDT,0.1336,1787616000000
263,1787606182407,HOMEUSDT,-0.3048,1787616000000
264,1787606185967,IONQUSDT,0.1095,1787616000000
265,1787606194047,LSKUSDT,0.2867,1787616000000
266,1787606196199,MAUSDT,-0.1665,1787616000000
267,1787606732357,1000BTTUSDT,-0.2536,1787616000000
268,1787606735355,ACEUSDT,-0.3683,1787616000000
269,1787606736033,ACXUSDT,0.2303,1787616000000
270,1787606748755,B3USDT,-0.1996,1787616000000
271,1787606752078,BICOUSDT,-0.1918,1787616000000
272,1787606771452,EPICUSDT,-0.1147,1787616000000
273,1787606776258,FORMUSDT,0.1278,1787616000000
274,1787606783032,HOMEUSDT,-0.3113,1787616000000
275,1787606786536,IONQUSDT,0.1222,1787616000000
276,1787606794660,LSKUSDT,0.2779,1787616000000
277,1787606796813,MAUSDT,-0.1672,1787616000000
278,1787607332438,1000BTTUSDT,-0.2559,1787616000000
279,1787607335466,ACEUSDT,-0.3664,1787616000000
280,1787607336139,ACXUSDT,0.1519,1787616000000
281,1787607349814,B3USDT,-0.1641,1787616000000
282,1787607353138,BICOUSDT,-0.201,1787616000000
283,1787607377615,FORMUSDT,0.1291,1787616000000
284,1787607384416,HOMEUSDT,-0.3224,1787616000000
285,1787607387955,IONQUSDT,0.1239,1787616000000
286,1787607396107,LSKUSDT,0.2639,1787616000000
287,1787607398262,MAUSDT,-0.1681,1787616000000
288,1787607932019,1000BTTUSDT,-0.2531,1787616000000
289,1787607935722,ACEUSDT,-0.3663,1787616000000
290,1787607948548,B3USDT,-0.1468,1787616000000
291,1787607951856,BICOUSDT,-0.2056,1787616000000
292,1787607956161,BSPUSDT,0.1031,1787616000000
293,1787607976276,FORMUSDT,0.1275,1787616000000
294,1787607983069,HOMEUSDT,-0.2963,1787616000000
295,1787607986535,IONQUSDT,0.1222,1787616000000
296,1787607994956,LSKUSDT,0.2122,1787616000000
297,1787607997131,MAUSDT,-0.1694,1787616000000
298,1787608531880,1000BTTUSDT,-0.2517,1787616000000
299,1787608534881,ACEUSDT,-0.3573,1787616000000
300,1787608548252,B3USDT,-0.1177,1787616000000
301,1787608551891,BICOUSDT,-0.2083,1787616000000
302,1787608556188,BSPUSDT,0.1386,1787616000000
303,1787608558189,CASHCATUSDT,0.1675,1787616000000
304,1787608563438,COTIUSDT,-0.2233,1787608800000
305,1787608576650,FORMUSDT,0.1195,1787616000000
306,1787608583424,HOMEUSDT,-0.2658,1787616000000
307,1787608586896,IONQUSDT,0.1235,1787616000000
308,1787608594980,LSKUSDT,0.1691,1787616000000
309,1787608597135,MAUSDT,-0.1722,1787616000000
310,1787609131863,1000BTTUSDT,-0.2485,1787616000000
311,1787609134889,ACEUSDT,-0.3522,1787616000000
312,1787609151699,BICOUSDT,-0.2165,1787616000000
313,1787609156012,BSPUSDT,0.1552,1787616000000
314,1787609158008,CASHCATUSDT,0.2152,1787616000000
315,1787609162645,COTIUSDT,-0.3444,1787612400000
316,1787609175829,FORMUSDT,0.1216,1787616000000
317,1787609182604,HOMEUSDT,-0.2456,1787616000000
318,1787609186078,IONQUSDT,0.1183,1787616000000
319,1787609194163,LSKUSDT,0.146,1787616000000
320,1787609196325,MAUSDT,-0.1736,1787616000000
321,1787609200466,MOVEUSDT,-0.1077,1787616000000
322,1787609731926,1000BTTUSDT,-0.2604,1787616000000
323,1787609734933,ACEUSDT,-0.3565,1787616000000
324,1787609751420,BICOUSDT,-0.2195,1787616000000
325,1787609755733,BSPUSDT,0.1639,1787616000000
326,1787609757727,CASHCATUSDT,0.2374,1787616000000
327,1787609762665,COTIUSDT,-0.3242,1787612400000
328,1787609771066,EPICUSDT,-0.1132,1787616000000
329,1787609775853,FORMUSDT,0.1216,1787616000000
330,1787609782629,HOMEUSDT,-0.2318,1787616000000
331,1787609786419,IONQUSDT,0.1097,1787616000000
332,1787609794499,LSKUSDT,0.1394,1787616000000
333,1787609796652,MAUSDT,-0.1745,1787616000000
334,1787610332376,1000BTTUSDT,-0.2726,1787616000000
335,1787610335368,ACEUSDT,-0.3544,1787616000000
336,1787610352130,BICOUSDT,-0.2218,1787616000000
337,1787610356420,BSPUSDT,0.1664,1787616000000
338,1787610358397,CASHCATUSDT,0.26,1787616000000
339,1787610371390,EPICUSDT,-0.1175,1787616000000
340,1787610376164,FORMUSDT,0.1248,1787616000000
341,1787610382908,HOMEUSDT,-0.2216,1787616000000
342,1787610386468,IONQUSDT,0.1016,1787616000000
343,1787610394597,LSKUSDT,0.1183,1787616000000
344,1787610396743,MAUSDT,-0.1759,1787616000000
345,1787610932035,1000BTTUSDT,-0.2724,1787616000000
346,1787610935058,ACEUSDT,-0.3456,1787616000000
347,1787610951519,BICOUSDT,-0.2213,1787616000000
348,1787610956136,BSPUSDT,0.1671,1787616000000
